winery,wine,year,rating,num_reviews,country,region,type,body,acidity,price_range
Teso La Monja,Tinto,2013,4.9,58,Espana,Toro,Toro Red,5.0,3.0,[200-3030]
Artadi,Vina El Pison,2018,4.9,31,Espana,Vino de Espana,Tempranillo,4.0,2.0,[200-3030]
Vega Sicilia,Unico,2009,4.8,1793,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,1999,4.8,1705,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,1996,4.8,1309,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,1998,4.8,1209,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,2010,4.8,1201,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,1995,4.8,926,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico Reserva Especial Edicion,2015,4.8,643,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,2011,4.8,630,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico Reserva Especial Edicion,2016,4.8,591,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Pago de Carraovejas,El Anejon,2016,4.8,454,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[100-150]
Vega Sicilia,Unico Reserva Especial Edicion,2018,4.8,438,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,1970,4.8,417,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Toro Albala,Don PX Convento Seleccion,1946,4.8,398,Espana,Montilla-Moriles,Pedro Ximenez,5.0,1.0,[200-3030]
Pago de Carraovejas,Cuesta de Las Liebres,2015,4.8,372,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[150-200]
Vega Sicilia,Unico,1962,4.8,295,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico Reserva Especial Edicion,2019,4.8,250,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Bodegas El Nido,El Nido,2018,4.8,217,Espana,Jumilla,Red,4.0,3.0,[150-200]
Vega Sicilia,Unico Reserva Especial Edicion,2004,4.8,211,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Valdespino,Toneles Moscatel,N.V.,4.8,174,Espana,Jerez-Xeres-Sherry,Sherry,4.0,3.0,[200-3030]
Vega Sicilia,Unico Reserva Especial Edicion,2013,4.8,172,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Dominio de Pingus,Pingus,2016,4.8,145,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Toro Albala,Don PX Convento Seleccion,1931,4.8,139,Espana,Montilla-Moriles,Pedro Ximenez,5.0,1.0,[200-3030]
Vega Sicilia,Unico Reserva Especial Edicion,2010,4.8,125,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico,1979,4.8,118,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Toro Albala,Don PX Pedro Ximenez,1946,4.8,103,Espana,Montilla-Moriles,Pedro Ximenez,5.0,1.0,[200-3030]
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2004,4.8,87,Espana,Priorato,Priorat Red,4.0,3.0,[200-3030]
Vega Sicilia,Unico Reserva Especial Edicion,2005,4.8,87,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
Vega Sicilia,Unico Reserva Especial Edicion,2020,4.8,84,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,[200-3030]
